CWA,CW,UA,U,LA,L,C,PM
8333.333333,25555.55556,29444.44444,23888.88889,20000,25555.55556,25000,12777.77778
15555.55556,27222.22222,19444.44444,18888.88889,27222.22222,13333.33333,31111.11111,23333.33333
14444.44444,12777.77778,15000,24444.44444,11666.66667,23888.88889,28888.88889,32777.77778
8888.888889,40555.55556,15000,37222.22222,22777.77778,16666.66667,23888.88889,26111.11111
