Date,Day,L.M,ML.M,MU.M,U.M,L.SD,ML.SD,MU.SD,U.SD
7/23/2013,1,9.020833333,9.958333333,10.525,9.333333333,0.850857411,1.964381912,2.074246851,0.333333333
7/24/2013,2,9.586111111,10.68019481,11.82222222,10.11071429,0.906100722,0.340537831,2.086819306,2.72133136
7/25/2013,3,10.22083333,11.63333333,13.47916667,13,1.346007471,1.902435087,3.362631658,6.437735972
7/26/2013,4,11.24950397,11.82936508,13.39166667,13.0625,0.839856016,0.707151319,0.797391581,2.712740005
7/27/2013,5,13.10416667,11.97916667,13.45833333,13.5,1.623574874,0.963152136,2.608302272,1.322875656
7/28/2013,6,12.39880952,11.7625,11.69166667,14.5625,1.960241146,3.198795346,1.289092417,4.455216979
7/29/2013,7,11.75,14.83333333,12,12.66666667,2.923404915,2.020725942,4.409585518,0.471404521
7/30/2013,8,7.194444444,8.875,10.35416667,7.729166667,1.055189995,2.521665382,1.155452052,1.242337626
