Date,Upper,Mid Upper,Mid Lower,Lower
23-Jul,0.000118102,0.000187384,0.000167979,0.000186629
25-Jul,8.21131E-06,1.11858E-05,5.29463E-05,8.34645E-05
27-Jul,5.58818E-06,5.19421E-06,4.28439E-05,5.25278E-05
29-Jul,6.22838E-06,5.9363E-06,1.9803E-05,7.33854E-05
