,W1.UGR,W1.MUGR,W1.MLGR,W1.LGR,W2.UGR,W2.MUGR,W2.MLGR,W2.LGR
Mean,0.081223173,0.070206836,0.072987921,0.080388647,0.36007633,0.46165807,0.380705094,0.406803165
SD,0.068850402,0.0603551,0.064460066,0.081177839,0.179566734,0.217710297,0.12691989,0.112879119
