I_Upper,I_MidUpper,I_MidLower,I_Lower,E_Upper,E_MidUpper,E_MidLower,E_Lower,GR_Upper,GR_MidUpper,GR_MidLower,GR_Lower
0.0145,0.0089,0.0128,0.0103,,0.0162,0.0219,0.0233,,0.119791993,0.107408293,0.163261893
0.0119,0.0134,0.0203,0.0114,0.0207,0.0204,0.0213,0.0173,0.11071906,0.084056039,0.009617237,0.083418629
0.0125,0.0174,0.0157,0.0145,0.0211,0.0191,0.019,0.0257,0.104708879,0.018643626,0.038155653,0.114468468
0.0111,0.0186,0.0244,0.007,0.0207,0.0199,0.0226,0.0277,0.124637718,0.01351163,-0.015326645,0.275104453
,0.0115,,0.0118,0.0318,0.0258,0.0198,0.021,,0.161605491,,0.115284581
0.0124,0.0109,0.0243,0.0166,0.0252,0.0156,,0.0264,0.141829504,0.071701625,,0.092792263
0.0118,0.0247,0.0121,0.019,0.0206,0.0239,0.0197,0.0155,0.111438309,-0.006584957,0.097482637,-0.040719791
0.0094,0.0188,0.0123,0.0154,0.0205,0.0208,0.0244,0.0172,0.155943039,0.020219223,0.136996774,0.022108375
0.0148,0.0191,0.0128,0.0197,0.0243,0.0336,0.0198,0.0268,0.099169834,0.112967546,0.087247353,0.06155665
0.0195,0.012,,0.0173,0.015,0.0203,0.0225,0.0256,-0.052472853,0.105142847,,0.07837717
0.017,0.0255,0.0236,0.0146,0.0145,0.0242,0.0203,0.0192,-0.031812939,-0.010465164,-0.030125165,0.05477775
0.014,0.0103,0.0185,0.0143,0.0202,0.0241,0.0232,,0.073325055,0.170013589,0.045276309,
0.0201,0.0095,0.0156,0.0185,0.0209,0.0168,0.0254,0.0206,0.007805869,0.114017418,0.097495652,0.021504069
0.0151,0.0112,0.0142,0.0122,0.0207,0.02,,0.0207,0.063087791,0.115963699,,0.10573955
0.0268,0.016,0.0101,0.0106,0.0237,0.017,0.0256,0.0193,-0.024585368,0.012124924,0.186011386,0.119850219
0.0149,0.0212,0.0138,0.0324,0.0271,0.0235,0.0246,0.0238,0.119634503,0.020599848,0.11561557,-0.061694568
