,M1.U,M1.MU,M1.ML,M1.L,SD1.U,SD1.MU,SD1.ML,SD1.L
I,0.015053333,0.0155625,0.016464286,0.01535,0.00455878,0.005374616,0.004834127,0.005753492
F,0.0218,0.021325,0.02215,0.022006667,0.00420223,0.004525262,0.002029984,0.004020941
