,M2.U,M2.MU,M2.ML,M2.L,SD2.U,SD2.MU,SD2.ML,SD2.L
I,0.0045,0.0036125,0.0045125,0.00408,0.002038907,0.001690316,0.002320883,0.00158889
F,0.030225,0.029621429,0.02886875,0.0291375,0.016560576,0.0133,0.010751851,0.007670887
